Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
S2R1,AN-1-1,806-42,1,3,High,Multiple
S2D2,AN-1-1,806-42,1,4,High,Multiple
S2D8,AN-1-1,806-42,1,4,High,Multiple
S2D11,AN-1-1,806-42,0,NA,High,Multiple
End,AN-1-1,806-42,0,NA,High,Multiple
Initial,AN-1-2,743-13,1,2,High,Multiple
S1D3,AN-1-2,743-13,1,3,High,Multiple
S2R1,AN-1-2,743-13,1,3,High,Multiple
S2D2,AN-1-2,743-13,1,3,High,Multiple
S2D8,AN-1-2,743-13,1,3,High,Multiple
S2D11,AN-1-2,743-13,1,3,High,Multiple
End,AN-1-2,743-13,0,NA,High,Multiple
Initial,AN-1-3,744-1,1,3,High,Multiple
S1D3,AN-1-3,744-1,1,3,High,Multiple
S2R1,AN-1-3,744-1,1,3,High,Multiple
S2D2,AN-1-3,744-1,1,3,High,Multiple
S2D8,AN-1-3,744-1,1,3,High,Multiple
S2D11,AN-1-3,744-1,0,NA,High,Multiple
End,AN-1-3,744-1,0,NA,High,Multiple
Initial,AN-1-4,807-42,1,2,High,Multiple
S1D3,AN-1-4,807-42,1,2,High,Multiple
S2R1,AN-1-4,807-42,1,2,High,Multiple
S2D2,AN-1-4,807-42,1,3,High,Multiple
S2D8,AN-1-4,807-42,1,3,High,Multiple
S2D11,AN-1-4,807-42,1,3,High,Multiple
End,AN-1-4,807-42,0,NA,High,Multiple
Initial,JN-28-1,823-1,1,4,High,Multiple
S1D3,JN-28-1,823-1,1,5,High,Multiple
S2R1,JN-28-1,823-1,1,5,High,Multiple
S2D2,JN-28-1,823-1,1,5,High,Multiple
S2D8,JN-28-1,823-1,1,5,High,Multiple
S2D11,JN-28-1,823-1,0,NA,High,Multiple
End,JN-28-1,823-1,0,NA,High,Multiple
Initial,JN-28-2,807-42,1,6,High,Multiple
S1D3,JN-28-2,807-42,1,6,High,Multiple
S2R1,JN-28-2,807-42,1,6,High,Multiple
S2D2,JN-28-2,807-42,1,6,High,Multiple
S2D8,JN-28-2,807-42,1,6,High,Multiple
S2D11,JN-28-2,807-42,0,NA,High,Multiple
End,JN-28-2,807-42,0,NA,High,Multiple
Initial,JN-28-3,806-42,1,3,High,Multiple
S1D3,JN-28-3,806-42,1,3,High,Multiple
S2R1,JN-28-3,806-42,1,3,High,Multiple
S2D2,JN-28-3,806-42,1,3,High,Multiple
S2D8,JN-28-3,806-42,0,NA,High,Multiple
S2D11,JN-28-3,806-42,0,NA,High,Multiple
End,JN-28-3,806-42,0,NA,High,Multiple
Initial,JN-28-4,802-42,1,2,High,Multiple
S1D3,JN-28-4,802-42,1,4,High,Multiple
S2R1,JN-28-4,802-42,1,2,High,Multiple
S2D2,JN-28-4,802-42,1,2,High,Multiple
S2D8,JN-28-4,802-42,1,2,High,Multiple
S2D11,JN-28-4,802-42,0,NA,High,Multiple
End,JN-28-4,802-42,0,NA,High,Multiple
