Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
S2D2,JS-27-1,821-47,1,4,Ambient,Single
S2D8,JS-27-1,821-47,1,5,Ambient,Single
S2D11,JS-27-1,821-47,1,5,Ambient,Single
End,JS-27-1,821-47,1,6,Ambient,Single
Initial,JS-28-1,821-47,1,5,Ambient,Single
S1D3,JS-28-1,821-47,1,5,Ambient,Single
S2R1,JS-28-1,821-47,0,NA,Ambient,Single
S2D2,JS-28-1,821-47,0,NA,Ambient,Single
S2D8,JS-28-1,821-47,0,NA,Ambient,Single
S2D11,JS-28-1,821-47,0,NA,Ambient,Single
End,JS-28-1,821-47,0,NA,Ambient,Single
Initial,JS-29-1,807-42,1,5,High,Single
S1D3,JS-29-1,807-42,1,5,High,Single
S2R1,JS-29-1,807-42,1,6,High,Single
S2D2,JS-29-1,807-42,1,6,High,Single
S2D8,JS-29-1,807-42,1,6,High,Single
S2D11,JS-29-1,807-42,0,NA,High,Single
End,JS-29-1,807-42,0,NA,High,Single
Initial,JS-3-1,813-25,1,4,High,Single
S1D3,JS-3-1,813-25,1,5,High,Single
S2R1,JS-3-1,813-25,1,6,High,Single
S2D2,JS-3-1,813-25,1,6,High,Single
S2D8,JS-3-1,813-25,1,5,High,Single
S2D11,JS-3-1,813-25,0,NA,High,Single
End,JS-3-1,813-25,0,NA,High,Single
Initial,JS-30-1,807-42,1,6,Ambient,Single
S1D3,JS-30-1,807-42,1,6,Ambient,Single
S2R1,JS-30-1,807-42,1,6,Ambient,Single
S2D2,JS-30-1,807-42,1,7,Ambient,Single
S2D8,JS-30-1,807-42,1,8,Ambient,Single
S2D11,JS-30-1,807-42,1,9,Ambient,Single
End,JS-30-1,807-42,1,9,Ambient,Single
Initial,JS-31-1,807-42,1,6,Ambient,Single
S1D3,JS-31-1,807-42,1,6,Ambient,Single
S2R1,JS-31-1,807-42,1,6,Ambient,Single
S2D2,JS-31-1,807-42,1,6,Ambient,Single
S2D8,JS-31-1,807-42,1,7,Ambient,Single
S2D11,JS-31-1,807-42,1,8,Ambient,Single
End,JS-31-1,807-42,1,12,Ambient,Single
Initial,JS-33-1,743-13,1,4,Ambient,Single
S1D3,JS-33-1,743-13,1,5,Ambient,Single
S2R1,JS-33-1,743-13,1,5,Ambient,Single
S2D2,JS-33-1,743-13,1,6,Ambient,Single
S2D8,JS-33-1,743-13,1,7,Ambient,Single
S2D11,JS-33-1,743-13,1,7,Ambient,Single
End,JS-33-1,743-13,1,7,Ambient,Single
Initial,JS-35-1,744-1,1,2,High,Single
S1D3,JS-35-1,744-1,1,3,High,Single
S2R1,JS-35-1,744-1,1,4,High,Single
S2D2,JS-35-1,744-1,1,4,High,Single
S2D8,JS-35-1,744-1,1,4,High,Single
S2D11,JS-35-1,744-1,0,NA ,High,Single
End,JS-35-1,744-1,0,NA ,High,Single
Initial,JS-36-1,744-1,1,2,High,Single
S1D3,JS-36-1,744-1,1,2,High,Single
S2R1,JS-36-1,744-1,1,2,High,Single
S2D2,JS-36-1,744-1,1,2,High,Single
S2D8,JS-36-1,744-1,1,2,High,Single
S2D11,JS-36-1,744-1,0,NA ,High,Single
End,JS-36-1,744-1,0,NA ,High,Single
Initial,JS-37-1,806-42,1,5,Ambient,Single
S1D3,JS-37-1,806-42,1,5,Ambient,Single
S2R1,JS-37-1,806-42,1,5,Ambient,Single
S2D2,JS-37-1,806-42,1,7,Ambient,Single
S2D8,JS-37-1,806-42,1,9,Ambient,Single
S2D11,JS-37-1,806-42,1,9,Ambient,Single
End,JS-37-1,806-42,1,8,Ambient,Single
Initial,JS-38-1,806-42,1,5,Ambient,Single
S1D3,JS-38-1,806-42,1,5,Ambient,Single
S2R1,JS-38-1,806-42,1,5,Ambient,Single
S2D2,JS-38-1,806-42,1,5,Ambient,Single
S2D8,JS-38-1,806-42,1,6,Ambient,Single
S2D11,JS-38-1,806-42,1,7,Ambient,Single
End,JS-38-1,806-42,1,7,Ambient,Single
Initial,JS-39-1,806-42,1,2,Ambient,Single
S1D3,JS-39-1,806-42,1,3,High,Single
S2R1,JS-39-1,806-42,0,NA,High,Single
S2D2,JS-39-1,806-42,0,NA,High,Single
S2D8,JS-39-1,806-42,0,NA,High,Single
S2D11,JS-39-1,806-42,0,NA,High,Single
End,JS-39-1,806-42,0,NA,High,Single
Initial,JS-40-1,806-42,1,3,High,Single
S1D3,JS-40-1,806-42,1,3,High,Single
S2R1,JS-40-1,806-42,0,NA,High,Single
S2D2,JS-40-1,806-42,0,NA,High,Single
S2D8,JS-40-1,806-42,0,NA,High,Single
S2D11,JS-40-1,806-42,0,NA,High,Single
End,JS-40-1,806-42,0,NA,High,Single
Initial,JS-41-1,813-25,1,7,High,Single
S1D3,JS-41-1,813-25,1,7,High,Single
S2R1,JS-41-1,813-25,1,7,High,Single
S2D2,JS-41-1,813-25,1,7,High,Single
S2D8,JS-41-1,813-25,1,7,High,Single
S2D11,JS-41-1,813-25,0,NA,High,Single
End,JS-41-1,813-25,0,NA,High,Single
Initial,JS-42-1,813-25,1,8,Ambient,Single
S1D3,JS-42-1,813-25,1,8,Ambient,Single
S2R1,JS-42-1,813-25,1,8,Ambient,Single
S2D2,JS-42-1,813-25,1,8,Ambient,Single
S2D8,JS-42-1,813-25,1,8,Ambient,Single
S2D11,JS-42-1,813-25,1,9,Ambient,Single
End,JS-42-1,813-25,1,10,Ambient,Single
Initial,JS-43-1,742-F,1,3,High,Single
S1D3,JS-43-1,742-F,1,3,High,Single
S2R1,JS-43-1,742-F,1,3,High,Single
S2D2,JS-43-1,742-F,1,3,High,Single
S2D8,JS-43-1,742-F,1,3,High,Single
S2D11,JS-43-1,742-F,0,NA,High,Single
End,JS-43-1,742-F,0,NA,High,Single
Initial,JS-44-1,801-47,1,2,High,Single
S1D3,JS-44-1,801-47,1,3,High,Single
S2R1,JS-44-1,801-47,1,3,High,Single
S2D2,JS-44-1,801-47,0,NA,High,Single
S2D8,JS-44-1,801-47,0,NA,High,Single
S2D11,JS-44-1,801-47,0,NA,High,Single
End,JS-44-1,801-47,0,NA,High,Single
Initial,JS-45-1,806-42,1,2,High,Single
S1D3,JS-45-1,806-42,1,2,High,Single
S2R1,JS-45-1,806-42,1,2,High,Single
S2D2,JS-45-1,806-42,1,3,High,Single
S2D8,JS-45-1,806-42,0,NA,High,Single
S2D11,JS-45-1,806-42,0,NA,High,Single
End,JS-45-1,806-42,0,NA,High,Single
