Date,Week,StressDay,Treatment,Colony,Reef,Plate,RackRep,Frag,Table,Temperature,ID,Time,Notes
20190610,12,1,Single,23,,1_23_P01,3,1_23_25,B,Ambient,269,2027,
20190610,12,1,Single,23,,1_23_P01,4,1_23_32,B,Ambient,266,2027,
20190610,12,1,Single,23,,1_23_P01,9,1_23_36,B,Ambient,264,2027,
20190610,12,1,Single,23,,1_23_P01,7,1_23_37,B,Ambient,268,2027,
20190610,12,1,Single,23,,1_23_P01,1,1_23_39,B,Ambient,267,2027,
20190610,12,1,Single,23,,1_23_P01,6,1_23_41,B,Ambient,271,2027,
20190610,12,1,Single,23,,1_23_P01,10,1_23_7,B,Ambient,265,2027,
20190610,12,1,Single,23,,1_23_P02,3,1_23_11,C,High,382,2055,
20190610,12,1,Single,23,,1_23_P02,8,1_23_14,C,High,378,2055,
20190610,12,1,Single,23,,1_23_P02,9,1_23_21,C,High,380,2055,
20190610,12,1,Single,23,,1_23_P02,1,1_23_24,C,High,373,2055,
20190610,12,1,Single,23,,1_23_P02,6,1_23_27,C,High,379,2055,
20190610,12,1,Single,23,,1_23_P02,10,1_23_28,C,High,381,2055,
20190610,12,1,Single,23,,1_23_P02,7,1_23_33,C,High,374,2055,
20190610,12,1,Single,23,,1_23_P02,5,1_23_4,C,High,375,2055,
20190610,12,1,Single,23,,1_23_P02,2,1_23_5,C,High,377,2055,
20190610,12,1,Single,23,,1_23_P02,4,1_23_9,C,High,376,2055,
20190610,12,1,Single,23,,1_23_P03,5,1_23_13,A,Ambient,83,1948,
20190610,12,1,Single,23,,1_23_P03,7,1_23_2,A,Ambient,90,1948,
20190610,12,1,Single,23,,1_23_P03,8,1_23_20,A,Ambient,88,1948,
20190610,12,1,Single,23,,1_23_P03,1,1_23_29,A,Ambient,89,1948,
20190610,12,1,Single,23,,1_23_P03,4,1_23_31,A,Ambient,87,1948,
20190610,12,1,Single,23,,1_23_P03,9,1_23_34,A,Ambient,84,1948,
20190610,12,1,Single,23,,1_23_P03,3,1_23_35,A,Ambient,85,1948,
20190610,12,1,Single,23,,1_23_P03,6,1_23_38,A,Ambient,82,1948,
20190610,12,1,Single,23,,1_23_P03,10,1_23_40,A,Ambient,81,1948,
20190610,12,1,Single,23,,1_23_P03,2,1_23_6,A,Ambient,86,1948,
20190610,12,1,Single,23,,1_23_P04,6,1_23_1,D,High,584,2141,
20190610,12,1,Single,23,,1_23_P04,9,1_23_10,D,High,587,2141,
20190610,12,1,Single,23,,1_23_P04,7,1_23_18,D,High,590,2141,
20190610,12,1,Single,23,,1_23_P04,4,1_23_19,D,High,591,2141,
20190610,12,1,Single,23,,1_23_P04,8,1_23_22,D,High,585,2141,
20190610,12,1,Single,23,,1_23_P04,2,1_23_23,D,High,588,2141,
20190610,12,1,Single,23,,1_23_P04,3,1_23_3,D,High,586,2141,
20190610,12,1,Single,23,,1_23_P04,10,1_23_30,D,High,589,2141,
20190610,12,1,Single,23,,1_23_P04,1,1_23_61,D,High,593,2141,
20190610,12,1,Single,23,,1_23_P04,5,1_23_8,D,High,592,2141,
20190610,12,1,Single,24,,1_24_P01,3,1_24_17,C,High,427,2105,
20190610,12,1,Single,24,,1_24_P01,5,1_24_19,C,High,425,2105,
20190610,12,1,Single,24,,1_24_P01,9,1_24_20,C,High,430,2105,
20190610,12,1,Single,24,,1_24_P01,1,1_24_25,C,High,429,2105,
